batsman,bowler,P0,P1,P2,P3,P4,P6,p_not_out
A Ashish Reddy,A Nehra,0.56,0.33,0.0,0.0,0.11,0.0,0.89
A Ashish Reddy,AB Dinda,0.14,0.71,0.0,0.0,0.14,0.0,
A Ashish Reddy,AD Mathews,0.17,0.42,0.17,0.0,0.08,0.17,
A Ashish Reddy,AD Russell,0.0,0.67,0.33,0.0,0.0,0.0,
A Ashish Reddy,Anureet Singh,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,Azhar Mahmood,0.33,0.67,0.0,0.0,0.0,0.0,
A Ashish Reddy,B Kumar,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,BW Hilfenhaus,0.5,0.0,0.5,0.0,0.0,0.0,0.5
A Ashish Reddy,CH Morris,0.2,0.4,0.0,0.2,0.0,0.2,
A Ashish Reddy,DJ Bravo,0.31,0.31,0.08,0.0,0.23,0.08,0.92
A Ashish Reddy,Harbhajan Singh,0.38,0.38,0.12,0.0,0.0,0.12,
A Ashish Reddy,Imran Tahir,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,J Botha,1.0,0.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,JEC Franklin,0.33,0.33,0.33,0.0,0.0,0.0,
A Ashish Reddy,JP Duminy,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,JP Faulkner,0.5,0.0,0.5,0.0,0.0,0.0,
A Ashish Reddy,KA Pollard,0.33,0.33,0.33,0.0,0.0,0.0,0.67
A Ashish Reddy,KK Cooper,0.2,0.4,0.2,0.0,0.2,0.0,
A Ashish Reddy,M Kartik,0.38,0.5,0.12,0.0,0.0,0.0,
A Ashish Reddy,M Morkel,0.2,0.6,0.2,0.0,0.0,0.0,0.8
A Ashish Reddy,MG Johnson,0.0,0.33,0.33,0.0,0.33,0.0,
A Ashish Reddy,MM Patel,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Ashish Reddy,MM Sharma,0.0,0.5,0.0,0.0,0.0,0.5,
A Ashish Reddy,MR Marsh,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,MS Gony,0.5,0.25,0.0,0.0,0.25,0.0,
A Ashish Reddy,NM Coulter-Nile,1.0,0.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,P Awana,1.0,0.0,0.0,0.0,0.0,0.0,0.5
A Ashish Reddy,P Kumar,0.25,0.5,0.0,0.0,0.25,0.0,
A Ashish Reddy,PP Chawla,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,PV Tambe,0.25,0.75,0.0,0.0,0.0,0.0,
A Ashish Reddy,Parvez Rasool,0.22,0.44,0.0,0.0,0.22,0.11,
A Ashish Reddy,R Vinay Kumar,0.27,0.55,0.09,0.0,0.0,0.09,0.82
A Ashish Reddy,RJ Peterson,0.6,0.2,0.0,0.0,0.0,0.2,
A Ashish Reddy,RP Singh,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Ashish Reddy,SL Malinga,0.5,0.25,0.25,0.0,0.0,0.0,
A Ashish Reddy,SMSM Senanayake,0.5,0.25,0.25,0.0,0.0,0.0,0.75
A Ashish Reddy,SP Narine,0.0,1.0,0.0,0.0,0.0,0.0,
A Ashish Reddy,SR Watson,0.4,0.6,0.0,0.0,0.0,0.0,0.8
A Ashish Reddy,STR Binny,0.25,0.5,0.25,0.0,0.0,0.0,0.75
A Ashish Reddy,SW Tait,0.25,0.0,0.25,0.0,0.5,0.0,
A Ashish Reddy,Sandeep Sharma,0.0,0.33,0.0,0.0,0.0,0.67,
A Ashish Reddy,TG Southee,0.25,0.25,0.25,0.0,0.0,0.25,
A Ashish Reddy,UT Yadav,0.2,0.4,0.1,0.0,0.2,0.1,
A Ashish Reddy,YS Chahal,0.57,0.14,0.0,0.0,0.0,0.29,
A Chandila,R Rampaul,0.5,0.5,0.0,0.0,0.0,0.0,
A Chandila,R Vinay Kumar,0.5,0.5,0.0,0.0,0.0,0.0,
A Chandila,RP Singh,0.0,1.0,0.0,0.0,0.0,0.0,
A Chandila,V Pratap Singh,1.0,0.0,0.0,0.0,0.0,0.0,
A Chopra,DP Vijaykumar,0.8,0.2,0.0,0.0,0.0,0.0,
A Chopra,DW Steyn,0.75,0.25,0.0,0.0,0.0,0.0,0.75
A Chopra,GD McGrath,0.5,0.5,0.0,0.0,0.0,0.0,
A Chopra,Harmeet Singh,0.88,0.0,0.0,0.0,0.12,0.0,
A Chopra,JR Hopes,0.5,0.5,0.0,0.0,0.0,0.0,0.5
A Chopra,PJ Sangwan,0.7,0.2,0.0,0.0,0.1,0.0,0.9
A Chopra,PP Chawla,0.0,1.0,0.0,0.0,0.0,0.0,
A Chopra,PP Ojha,0.5,0.5,0.0,0.0,0.0,0.0,0.83
A Chopra,RP Singh,0.17,0.5,0.17,0.0,0.17,0.0,
A Chopra,SB Bangar,0.25,0.25,0.0,0.0,0.5,0.0,
A Chopra,SB Styris,0.71,0.14,0.0,0.0,0.14,0.0,
A Chopra,SM Pollock,0.75,0.25,0.0,0.0,0.0,0.0,
A Chopra,VY Mahesh,0.5,0.25,0.0,0.0,0.25,0.0,
A Chopra,WPUJC Vaas,0.5,0.5,0.0,0.0,0.0,0.0,
A Chopra,Y Venugopal Rao,0.71,0.14,0.14,0.0,0.0,0.0,
A Chopra,Z Khan,0.0,1.0,0.0,0.0,0.0,0.0,
A Choudhary,AJ Tye,0.33,0.67,0.0,0.0,0.0,0.0,
A Choudhary,AR Patel,0.0,1.0,0.0,0.0,0.0,0.0,
A Choudhary,BCJ Cutting,0.5,0.0,0.0,0.0,0.0,0.5,
A Choudhary,Basil Thampi,0.0,0.5,0.25,0.0,0.25,0.0,
A Choudhary,JP Faulkner,0.0,1.0,0.0,0.0,0.0,0.0,
A Choudhary,MM Sharma,0.5,0.5,0.0,0.0,0.0,0.0,
